time,icao24,callsign,latitude,longitude,baro_altitude,vel_mps,vrate_mps,track,fuel_flow_kgs,fuel_burnt_kg
1775240213,4acb23,NSZ5PE,59.6624,17.9674,0,0.0,0.0,76,0.015,0.015
1775240224,4acb23,NSZ5PE,59.6645,17.9842,0,88.36270987128627,0.0,76,0.015,0.03
1775240255,4acb23,NSZ5PE,59.6703,18.0335,304,91.69661922475117,9.806451612903226,78,0.015,0.045
1775240266,4acb23,NSZ5PE,59.6706,18.0507,304,87.85119398176677,0.0,98,0.015,0.06
1775240277,4acb23,NSZ5PE,59.6656,18.0689,609,105.76797933949241,27.727272727272727,131,0.015,0.075
1775240286,4acb23,NSZ5PE,59.6575,18.0783,609,116.00116996855377,0.0,161,0.015,0.09
1775240297,4acb23,NSZ5PE,59.6476,18.0811,914,101.09201648310778,27.727272727272727,178,0.015,0.105
1775240307,4acb23,NSZ5PE,59.637,18.0775,914,119.59029642360778,0.0,197,0.015,0.12
1775240319,4acb23,NSZ5PE,59.6273,18.0663,914,104.0752313681172,0.0,219,0.015,0.135
1775240330,4acb23,NSZ5PE,59.6201,18.0476,1219,120.1434942888186,27.727272727272727,239,0.015,0.15000000000000002
1775240341,4acb23,NSZ5PE,59.6138,18.0265,1219,125.27363671032167,0.0,239,0.015,0.16500000000000004
1775240361,4acb23,NSZ5PE,59.6024,17.9875,1524,126.69087294328695,15.25,240,0.015,0.18000000000000005
1775240370,4acb23,NSZ5PE,59.5968,17.9699,1524,129.9814330108689,0.0,234,0.015,0.19500000000000006
1775240381,4acb23,NSZ5PE,59.5889,17.9502,1828,128.59454350229697,27.636363636363637,231,0.015,0.21000000000000008
1775240398,4acb23,NSZ5PE,59.5752,17.9167,1828,142.610896035852,0.0,229,0.015,0.2250000000000001
1775240410,4acb23,NSZ5PE,59.5647,17.8956,2133,138.82642043721907,25.416666666666668,223,0.015,0.2400000000000001
1775240420,4acb23,NSZ5PE,59.5552,17.8779,2133,145.26392957447388,0.0,223,0.015,0.2550000000000001
1775240437,4acb23,NSZ5PE,59.5395,17.8485,2438,141.57949077528176,17.941176470588236,223,0.015,0.27000000000000013
1775240463,4acb23,NSZ5PE,59.5151,17.8024,2743,144.5203990704594,11.73076923076923,223,0.015,0.28500000000000014
1775240506,4acb23,NSZ5PE,59.4728,17.7223,3048,151.72625665821724,7.093023255813954,223,0.015,0.30000000000000016
1775240534,4acb23,NSZ5PE,59.4426,17.6654,3352,166.04012470914455,10.857142857142858,223,0.015,0.31500000000000017
1775240565,4acb23,NSZ5PE,59.4071,17.5992,3657,175.50977921264615,9.838709677419354,223,0.015,0.3300000000000002
1775240592,4acb23,NSZ5PE,59.3765,17.5422,3962,173.68706819346204,11.296296296296296,223,0.015,0.3450000000000002
1775240617,4acb23,NSZ5PE,59.3468,17.4868,4267,182.26099230663007,12.2,223,0.015,0.3600000000000002
1775240643,4acb23,NSZ5PE,59.3162,17.4297,4572,180.66964095997872,11.73076923076923,223,0.015,0.3750000000000002
1775240678,4acb23,NSZ5PE,59.2749,17.3531,4876,180.71206248183216,8.685714285714285,223,0.015,0.39000000000000024
1775240703,4acb23,NSZ5PE,59.2436,17.2951,5181,191.7527523766876,12.2,223,0.015,0.40500000000000025
1775240746,4acb23,NSZ5PE,59.1898,17.1963,5486,190.92607155797452,7.093023255813954,223,0.015,0.42000000000000026
1775240784,4acb23,NSZ5PE,59.1422,17.1087,5791,191.47458811008642,8.026315789473685,223,0.015,0.4350000000000003
1775240823,4acb23,NSZ5PE,59.0905,17.0145,6096,201.8255973735353,7.82051282051282,223,0.015,0.4500000000000003
1775240850,4acb23,NSZ5PE,59.0537,16.9475,6400,207.5583994778218,11.25925925925926,223,0.015,0.4650000000000003
1775240879,4acb23,NSZ5PE,59.015,16.8775,6705,202.7073155397865,10.517241379310345,223,0.015,0.4800000000000003
1775240919,4acb23,NSZ5PE,58.9607,16.7791,7010,206.51179104110048,7.625,222,0.015,0.49500000000000033
1775240955,4acb23,NSZ5PE,58.9112,16.6899,7315,208.77556658556037,8.472222222222221,222,0.015,0.5100000000000003
1775240999,4acb23,NSZ5PE,58.8511,16.5824,7620,206.83598829741743,6.931818181818182,222,0.015,0.5250000000000004
1775241036,4acb23,NSZ5PE,58.799,16.4897,7924,212.86775527009914,8.216216216216216,222,0.015,0.5400000000000004
1775241073,4acb23,NSZ5PE,58.7468,16.3972,8229,213.02481614302766,8.243243243243244,222,0.015,0.5550000000000004
1775241119,4acb23,NSZ5PE,58.6798,16.2789,8534,219.7378058958846,6.630434782608695,222,0.015,0.5700000000000004
1775241170,4acb23,NSZ5PE,58.6072,16.1515,8839,214.35342364082655,5.980392156862745,222,0.015,0.5850000000000004
1775241222,4acb23,NSZ5PE,58.5308,16.0177,9144,221.24788454325915,5.865384615384615,222,0.015,0.6000000000000004
1775241299,4acb23,NSZ5PE,58.4173,15.8212,9448,221.0878834387479,3.948051948051948,221,0.015,0.6150000000000004
1775241339,4acb23,NSZ5PE,58.3572,15.718,9753,224.7792736199352,7.625,222,0.015,0.6300000000000004
1775241397,4acb23,NSZ5PE,58.27,15.5689,10058,224.7039383152877,5.258620689655173,222,0.015,0.6450000000000005
1775241472,4acb23,NSZ5PE,58.1586,15.38,10363,221.45161123292453,4.066666666666666,221,0.015,0.6600000000000005
1775241540,4acb23,NSZ5PE,58.0567,15.2076,10668,223.49174092095663,4.485294117647059,221,0.015,0.6750000000000005
1775241548,4acb23,NSZ5PE,58.0446,15.1873,10972,224.89652005477842,38.0,221,0.015,0.6900000000000005
1775241556,4acb23,NSZ5PE,58.0329,15.1676,10668,217.84143862741632,-38.0,221,0.015,0.7050000000000005
1775241672,4acb23,NSZ5PE,57.8593,14.877,10972,222.59329182419614,2.6206896551724137,221,0.015,0.7200000000000005
1775241681,4acb23,NSZ5PE,57.8464,14.8555,10668,213.0241446535847,-33.77777777777778,221,0.015,0.7350000000000005
1775241697,4acb23,NSZ5PE,57.823,14.8164,10972,217.65289324982862,19.0,221,0.015,0.7500000000000006
1775241704,4acb23,NSZ5PE,57.813,14.7999,10668,211.47342571291966,-43.42857142857143,221,0.015,0.7650000000000006
1775241862,4acb23,NSZ5PE,57.5806,14.4199,10972,217.1972456574243,1.9240506329113924,221,0.015,0.7800000000000006
1775241870,4acb23,NSZ5PE,57.5688,14.4007,10668,217.66055196961284,-38.0,221,0.015,0.7950000000000006
1775242541,4acb23,NSZ5PE,56.5583,12.8193,10972,219.85938229864846,0.45305514157973176,219,0.015,0.8100000000000006
1775242566,4acb23,NSZ5PE,56.52,12.7617,10668,221.2977908140607,-12.16,219,0.015,0.8250000000000006
1775243465,4acb23,NSZ5PE,55.1303,10.7347,10972,222.19433938593875,0.3381535038932147,218,0.015,0.8400000000000006
1775243575,4acb23,NSZ5PE,54.9606,10.4997,10972,218.97563109379257,0.0,218,0.015,0.8550000000000006
1775243586,4acb23,NSZ5PE,54.9443,10.4773,10668,209.89843471220937,-27.636363636363637,218,0.015,0.8700000000000007
1775243649,4acb23,NSZ5PE,54.8467,10.3438,10972,219.1703195354862,4.825396825396825,218,0.015,0.8850000000000007
1775243658,4acb23,NSZ5PE,54.8328,10.3248,10668,218.55596676006223,-33.77777777777778,218,0.015,0.9000000000000007
1775243667,4acb23,NSZ5PE,54.8189,10.3058,10972,218.58476480665533,33.77777777777778,218,0.015,0.9150000000000007
1775243676,4acb23,NSZ5PE,54.805,10.2869,10668,218.17372488214403,-33.77777777777778,218,0.015,0.9300000000000007
1775243723,4acb23,NSZ5PE,54.732,10.1876,10972,219.53363603888508,6.468085106382978,218,0.015,0.9450000000000007
1775243739,4acb23,NSZ5PE,54.7079,10.1549,10668,212.79147531640334,-19.0,218,0.015,0.9600000000000007
1775243755,4acb23,NSZ5PE,54.6826,10.1206,10972,223.3687792111726,19.0,218,0.015,0.9750000000000008
1775243764,4acb23,NSZ5PE,54.6692,10.1024,10668,210.50633134450933,-33.77777777777778,217,0.015,0.9900000000000008
1775243807,4acb23,NSZ5PE,54.6026,10.0127,10972,218.36627204122195,7.069767441860465,218,0.015,1.0050000000000008
1775243816,4acb23,NSZ5PE,54.5883,9.9936,10668,223.39500570568845,-33.77777777777778,218,0.015,1.0200000000000007
1775244707,4acb23,NSZ5PE,53.1833,8.1842,10972,220.11567353956914,0.34118967452300786,216,0.015,1.0350000000000006
1775244849,4acb23,NSZ5PE,52.9637,7.9161,10972,213.2578743080949,0.0,216,0.015,1.0500000000000005
1775244856,4acb23,NSZ5PE,52.9525,7.9025,10668,220.42911651881022,-43.42857142857143,216,0.015,1.0650000000000004
1775245363,4acb23,NSZ5PE,52.1402,6.9372,10972,219.79923746998415,0.5996055226824457,216,0.015,1.0800000000000003
1775245371,4acb23,NSZ5PE,52.1284,6.9218,10972,210.14895714515674,0.0,219,0.015,1.0950000000000002
1775245625,4acb23,NSZ5PE,51.7538,6.4075,10972,214.84202082624276,0.0,220,0.015,1.11
